Policy Number,Age,Years of Driving Experience,Number of Vehicles,Gender,Married,Vehicle Age,Fuel Type,Losses
131825,16,0,1,M,Married,15,P,264.7891684
198279,70,51,1,M,Single,7,P,341.9072784
118353,20,3,1,F,Married,15,P,204.9823703
164749,28,9,1,M,Single,5,D,707.3793245
180133,28,10,1,F,Single,3,D,865.1666105
174077,20,2,1,F,Married,9,P,435.088519
155060,22,3,1,M,Single,4,D,1095.601585
150870,20,2,1,M,Married,12,P,373.3754632
180138,64,47,1,M,Married,11,P,48.01445411
185934,44,25,1,F,Single,13,P,447.2328034
153908,17,0,1,M,Single,12,D,665.4768153
169358,22,4,1,M,Married,14,P,316.9985022
153822,61,40,1,M,Single,5,P,388.6544422
140129,22,4,1,F,Single,13,P,405.6484005
122434,60,42,1,F,Single,12,P,46.01271223
149010,17,0,1,M,Married,14,P,354.6611912
151476,17,0,1,F,Single,11,P,296.8081537
106521,63,43,1,F,Single,4,P,217.1205792
168963,41,20,1,M,Married,6,P,375.6052838
115414,65,48,1,M,Single,15,P,25.88680711
164992,26,7,1,F,Married,5,D,606.3573767
133639,59,42,1,M,Single,11,P,351.1678295
122437,66,45,1,F,Married,12,P,15.5892684
137595,29,8,1,M,Single,5,D,738.9508303
187253,21,2,1,F,Married,13,P,183.0600479
156504,21,3,1,M,Married,13,P,311.353198
162843,64,46,1,F,Married,11,P,260.2725911
115549,36,17,1,F,Married,7,P,322.0024982
135122,46,27,1,M,Single,10,D,596.3227132
160917,60,42,1,M,Married,13,P,162.3570971
185458,25,8,1,M,Married,15,D,525.0439169
160510,47,30,1,F,Married,6,P,329.6301926
140871,24,6,1,M,Single,13,P,413.8328632
176448,40,23,1,M,Married,1,D,593.2666445
198278,21,2,1,F,Single,14,P,411.5067461
172292,35,16,1,F,Single,7,P,394.9982853
193942,70,53,1,F,Married,8,P,59.00575916
171408,48,27,1,M,Single,0,D,574.8216925
191865,62,44,1,F,Single,2,P,84.75366158
195418,50,29,1,M,Single,8,D,552.2467274
128036,67,50,1,M,Single,6,P,78.38607932
199870,54,34,1,M,Married,9,P,314.085069
147315,25,8,1,M,Single,5,D,3500
190621,16,0,1,M,Single,15,P,3250
142474,66,48,1,M,Single,10,P,2850
194236,63,43,1,F,Single,10,P,2534.63946
185366,52,34,1,M,Married,5,D,2852.18873
142085,25,7,1,F,Married,11,P,2879.067137
114164,38,20,1,F,Married,3,D,2814.312522
164185,25,6,1,F,Single,8,D,2879.176458
103178,50,32,1,F,Single,15,P,3462.340629
140879,35,15,1,M,Single,9,P,3332.771801
174443,64,45,1,F,Single,13,P,3226.612176
121044,68,49,1,F,Married,2,P,235.1357629
185091,63,45,1,F,Married,3,P,60.82862632
104797,24,7,1,M,Single,9,D,750.7435809
136204,58,38,1,F,Married,10,P,314.6819894
112619,17,0,1,M,Single,8,D,1197.444316
178782,16,0,1,F,Single,12,D,610.5008673
130506,20,1,1,M,Single,13,D,867.5781431
107433,58,38,1,F,Married,14,P,284.2330566
122086,50,33,1,M,Married,11,P,142.5319857
120837,58,37,1,M,Single,9,P,443.1218792
119860,23,5,1,M,Single,15,D,1086.924905
100079,20,3,1,M,Married,1,D,681.5827516
107878,52,35,1,M,Married,15,P,268.5415695
111243,36,16,1,M,Married,0,P,429.8250505
141643,37,16,1,F,Single,13,P,217.9595747
121584,61,40,1,F,Married,9,P,287.7680412
183067,29,11,1,F,Married,0,P,387.1689797
184637,21,2,1,F,Single,15,P,233.2261935
129471,22,4,1,F,Married,15,P,296.220441
181752,31,13,1,F,Single,9,P,381.6263384
145728,60,42,1,M,Single,0,P,97.82479138
138354,44,25,1,F,Single,3,P,427.346936
149411,16,0,1,M,Single,13,D,534.6193671
155379,18,1,1,F,Married,15,P,322.9551348
189763,66,47,1,M,Married,5,P,313.1380724
115565,70,52,1,F,Married,12,P,28.52569444
179862,19,0,1,M,Married,11,P,413.9661157
156612,49,30,1,M,Single,9,P,396.5517713
160282,18,0,1,M,Single,12,D,550.0535565
181059,24,5,1,F,Single,2,D,768.3369443
146711,66,46,1,F,Single,4,P,430.2457695
198926,70,49,1,F,Single,13,P,57.96961012
108827,25,7,1,F,Single,7,P,422.6834837
165557,26,8,1,M,Single,15,P,298.8722661
192032,23,6,1,M,Single,12,P,376.1669213
167570,35,18,1,F,Single,9,P,428.8765231
172196,25,6,1,M,Single,12,D,619.623702
104695,65,46,1,F,Single,6,P,357.0767817
109581,70,50,1,F,Single,14,P,36.73113056
125470,26,5,1,M,Single,2,D,513.9091147
146889,43,22,1,M,Single,8,P,383.0935474
183736,18,1,1,M,Married,10,D,775.5602497
188360,39,18,1,M,Single,5,D,688.1633261
137629,20,2,1,M,Married,13,P,250.0483034
123394,34,13,1,F,Married,12,P,151.2591629
111554,69,50,1,F,Single,7,P,96.57177764
164809,70,53,1,F,Single,10,P,156.106545
125588,25,7,1,M,Single,7,D,1036.422302
110830,22,5,1,F,Single,10,P,465.6053779
130427,57,38,1,F,Married,4,D,596.5321778
116082,51,31,1,M,Married,0,D,514.6965606
146750,19,0,1,F,Married,12,D,540.6418989
101703,64,45,1,F,Married,4,P,35.48597259
165002,62,42,1,F,Single,10,P,92.7900941
133073,22,5,1,M,Single,14,D,655.1327292
199193,46,27,1,M,Single,3,D,771.279313
169904,56,36,1,M,Single,7,D,555.0751738
164381,19,2,1,M,Married,12,P,289.320228
101325,25,8,1,F,Married,15,P,319.7637959
125818,61,42,1,F,Single,8,P,380.0193648
150975,35,17,1,M,Single,10,P,402.9137936
136723,64,46,1,M,Single,7,P,217.1632874
115009,41,22,1,F,Single,13,P,275.294995
183198,66,46,1,M,Single,1,D,796.0709274
118167,62,43,1,M,Single,6,P,56.27149032
181893,46,28,1,F,Single,5,D,713.2035955
193579,29,10,1,M,Married,12,P,140.7946555
134526,65,44,1,M,Single,14,P,290.7360244
162909,60,39,1,M,Married,1,P,203.0429805
160490,41,22,1,M,Married,4,D,516.9890908
100366,46,26,1,F,Married,12,P,202.4587138
139754,41,24,1,F,Single,10,P,428.4593856
159663,24,6,1,F,Single,11,D,516.0790928
153203,62,42,1,F,Married,14,P,256.9014828
109485,36,15,1,F,Married,2,P,376.2971849
159668,24,6,1,M,Single,12,D,1070.204776
148260,49,28,1,M,Married,13,P,370.6966267
180191,20,3,1,F,Single,14,P,266.0967514
180237,52,31,1,F,Married,10,P,311.9191271
139893,21,4,1,F,Single,15,P,429.8619791
155317,58,39,1,M,Single,0,D,818.0944497
102276,36,17,1,F,Married,13,P,320.2940291
115581,18,0,1,F,Married,13,P,183.2307779
156261,21,3,1,F,Single,14,D,564.7148465
192333,60,43,1,F,Married,6,P,110.3300495
111841,63,44,1,F,Single,4,P,465.658248
174729,64,45,1,M,Single,11,P,172.5265908
179628,22,5,1,M,Married,12,P,360.8051782
154549,22,3,1,F,Married,1,D,837.3677817
181334,26,5,1,F,Married,11,P,128.8692649
165949,19,0,1,F,Single,9,P,484.6961144
190391,28,9,1,M,Married,2,P,487.8515553
115290,24,5,1,M,Married,0,D,989.6964115
100313,60,39,1,F,Single,10,P,165.9840948
151108,20,2,1,F,Married,11,P,166.5373225
149292,43,25,1,M,Married,0,D,692.538638
158875,23,4,1,M,Married,14,D,512.8447128
191995,48,27,1,M,Married,5,D,628.6211982
129391,40,23,1,M,Single,6,P,437.5853059
136475,64,44,1,M,Single,10,P,244.1284514
123896,23,6,1,M,Married,6,P,479.0179823
187193,38,21,1,M,Married,9,P,321.0614316
193212,19,0,1,M,Married,7,P,328.3589705
108450,62,42,1,M,Married,10,P,387.2442899
169347,23,4,1,M,Married,15,P,235.0776441
164942,34,13,1,F,Married,2,P,395.6067606
141819,64,47,1,M,Single,14,P,65.68992357
111740,63,42,1,M,Single,7,P,296.012821
193972,28,11,1,F,Married,14,P,159.3673423
125668,16,0,1,M,Married,12,P,476.5346165
161764,29,11,1,F,Single,0,D,509.0594248
154044,17,0,1,F,Married,15,P,351.8847284
153568,55,34,1,F,Married,2,D,522.9070466
188603,52,31,1,M,Married,10,P,314.1997614
160890,30,9,1,M,Single,13,P,200.7912195
114690,16,0,1,F,Married,15,P,303.4043979
117035,23,5,1,F,Single,6,D,787.7636887
161490,70,49,1,F,Married,14,P,99.83090559
173164,18,0,1,F,Married,15,P,250.2204478
143977,27,7,1,F,Married,1,P,488.6956097
163639,47,28,1,M,Married,1,D,561.796776
149434,18,1,1,F,Single,12,P,415.4689569
149512,19,2,1,F,Single,9,D,777.5951773
157115,27,8,1,F,Single,7,P,355.8158451
175097,47,28,1,M,Married,13,P,356.572264
196651,70,52,1,F,Single,7,P,327.935663
195249,53,33,1,F,Married,6,P,300.7818655
127336,21,2,1,M,Married,3,D,770.4316087
137641,43,23,1,M,Married,0,D,689.2935821
165330,65,44,1,F,Married,8,P,151.2848344
192598,30,13,1,F,Single,1,D,696.0295489
146908,48,30,1,M,Married,12,P,237.0227564
180115,16,0,1,F,Married,15,P,310.3054332
177343,63,46,1,M,Single,9,P,411.4934109
117839,40,22,1,F,Single,2,D,629.444886
149617,46,27,1,M,Married,10,P,393.3264183
126692,56,35,1,F,Married,5,D,571.9363703
111093,19,2,1,F,Married,14,P,282.4138477
135757,33,12,1,M,Single,10,P,454.822674
117846,57,38,1,F,Single,4,P,478.456794
155784,56,36,1,M,Single,14,P,193.0311549
164611,25,8,1,M,Married,14,P,409.9010323
121723,55,34,1,M,Single,12,D,509.1345942
133288,40,20,1,M,Single,8,P,423.7222281
190115,46,28,1,F,Single,13,P,344.2283454
127988,42,21,1,M,Married,11,P,182.4160381
132030,27,8,1,F,Married,15,P,161.1440266
101870,46,27,1,M,Married,10,P,355.735993
140905,25,8,1,F,Married,15,P,328.8843527
198778,42,24,1,M,Married,9,P,324.5803862
126147,64,46,1,F,Single,7,P,454.9945793
160412,34,14,1,M,Single,2,D,762.0191521
103140,64,44,1,F,Single,14,P,289.5307529
149881,34,16,1,F,Single,1,P,458.5579608
144509,37,20,1,F,Married,14,P,258.8203437
168461,21,3,1,M,Single,15,D,586.595506
168054,68,50,1,M,Married,0,P,159.269216
146863,26,9,1,F,Single,11,P,147.7489935
120221,51,34,1,F,Married,8,P,308.8097112
129905,69,51,1,F,Single,5,P,254.7680456
134778,38,20,1,M,Single,7,D,517.2833796
197721,64,45,1,M,Single,0,P,105.4432074
136859,62,44,1,F,Married,4,P,39.95489011
190111,70,50,1,M,Married,2,P,302.4864881
130480,27,9,1,F,Married,6,P,311.3847328
196071,24,5,1,M,Married,11,P,335.7048594
173780,24,6,1,F,Married,15,P,197.9280454
148128,70,50,1,F,Married,5,P,81.55524621
134743,46,28,1,F,Single,8,P,408.0924936
100484,61,41,1,M,Single,11,P,35.74744486
134903,70,53,1,M,Single,12,P,319.9288788
195830,51,32,1,F,Single,0,D,590.2667386
113558,49,31,1,F,Single,0,D,525.5303261
167211,34,13,1,M,Single,5,D,939.0853092
115864,25,7,1,M,Married,12,D,554.2015344
162203,24,5,1,M,Single,15,P,310.8532989
167577,36,15,1,F,Single,4,D,877.9333318
142500,20,3,1,F,Single,14,P,156.6693023
159595,20,1,1,F,Single,12,D,519.6358893
168966,70,53,1,F,Single,8,P,103.2503942
133980,22,4,1,M,Married,12,D,546.9662639
124584,61,44,1,M,Single,6,P,330.1496076
122265,20,2,1,M,Married,14,D,655.2242872
141110,21,4,1,M,Married,12,P,479.7951029
117962,19,0,1,F,Married,6,D,517.2311218
171724,66,49,1,F,Single,0,P,71.76435204
139558,63,44,1,M,Single,3,P,131.0544977
105488,51,30,1,F,Single,0,D,648.3377527
168484,37,17,1,M,Married,12,P,341.0717472
189773,16,0,1,M,Married,14,D,511.7329733
153899,21,4,1,M,Married,15,P,252.3853189
129663,23,6,1,F,Married,15,P,187.9585249
101567,63,44,1,F,Single,0,P,153.8388035
163248,63,42,1,M,Married,5,P,94.0483353
148293,52,32,1,M,Married,13,P,208.3574065
184812,30,10,1,M,Married,0,P,396.8456932
105539,21,4,1,F,Married,7,P,296.0244249
173771,63,46,1,M,Married,2,P,75.81174432
137967,45,27,1,F,Married,3,P,448.5662485
102783,61,41,1,F,Married,15,P,130.9914388
184349,34,16,1,M,Married,11,P,147.2741212
190032,16,0,1,F,Single,11,D,640.2131123
112590,23,5,1,M,Married,9,P,420.4922713
137410,25,7,1,F,Married,15,P,396.1408555
186036,16,0,1,M,Married,10,P,478.3520156
176062,30,9,1,F,Married,8,P,292.5163921
100180,48,29,1,F,Married,5,D,527.9214511
110357,17,0,1,F,Married,11,P,246.7103971
145580,69,49,1,M,Married,0,P,169.4418198
104748,28,9,1,M,Single,9,P,440.4587335
146750,29,9,1,F,Married,6,P,289.6606846
192607,24,7,1,M,Single,14,D,681.6009788
146111,67,48,1,F,Married,0,P,162.021823
143694,45,28,1,F,Single,15,P,237.9548251
148898,38,19,1,M,Single,2,D,726.0985559
141146,50,31,1,M,Single,4,D,728.5124594
166390,51,32,1,M,Single,7,P,445.3525652
180607,44,23,1,F,Single,9,P,427.1032675
179326,52,33,1,M,Married,13,P,264.9045348
185143,21,2,1,M,Married,11,P,317.4901628
136163,20,1,1,F,Married,11,P,356.4554345
154374,70,49,1,M,Single,2,D,639.261733
199927,60,40,1,M,Married,13,P,152.0660029
199878,33,15,1,M,Married,0,D,598.6892757
188214,16,0,1,F,Married,8,P,382.4581608
101548,19,2,1,M,Married,6,P,339.775025
166046,62,45,1,F,Married,6,P,97.0052298
138579,35,17,1,M,Married,12,P,167.8386883
127036,16,0,1,F,Single,15,D,622.0789033
121820,34,14,1,F,Married,12,P,196.5073839
169545,26,8,1,M,Single,7,P,489.774795
169825,23,4,1,M,Married,13,P,307.9160669
144994,48,31,1,F,Single,4,D,581.3363152
139461,33,14,1,F,Married,8,P,324.7471949
163644,33,15,1,M,Married,1,D,546.5349024
129990,57,40,1,F,Single,7,P,379.2612055
131839,61,41,1,F,Married,7,P,122.8351382
181986,70,49,1,M,Married,1,P,401.9377187
154666,61,40,1,M,Married,10,P,39.06923279
182160,24,5,1,M,Married,15,D,604.5968924
177869,39,21,1,M,Single,8,P,352.1776675
110303,52,32,1,F,Single,14,P,323.3784995
169168,25,7,1,M,Married,14,P,180.2839243
185206,67,46,1,F,Married,7,P,299.7655866
152972,25,6,1,M,Married,11,D,583.9925703
113499,56,38,1,F,Single,6,P,484.2868664
195644,26,8,1,M,Married,9,P,425.3481104
103619,63,43,1,F,Married,13,P,40.93404521
130134,62,42,1,F,Single,9,P,127.4005318
114614,52,31,1,M,Married,7,P,332.1391406
188548,53,35,1,M,Married,9,P,382.1779015
135088,34,15,1,M,Married,14,P,201.8179313
151309,17,0,1,M,Married,8,P,449.274253
196582,17,0,1,F,Married,13,P,479.4391977
155991,64,46,1,M,Married,8,P,206.7379713
146137,68,51,1,M,Single,6,P,48.10845199
109884,18,0,1,M,Married,15,P,333.2548377
135730,31,12,1,M,Single,2,D,800.6210897
190584,18,1,1,F,Married,14,P,181.7398301
147410,67,46,1,F,Married,6,P,207.5631629
159859,69,49,1,F,Married,14,P,44.85076261
161857,49,30,1,F,Single,7,P,389.6227552
177000,22,4,1,M,Married,8,P,456.2160705
120501,59,40,1,M,Single,2,D,780.2021419
161478,17,0,1,M,Single,13,D,852.9917769
118010,62,43,1,M,Married,3,P,298.1251488
191306,44,23,1,F,Single,4,D,517.2484855
101617,25,6,1,F,Single,14,P,227.3336458
165122,54,34,1,M,Married,9,P,395.9018181
150893,22,3,1,F,Single,14,P,238.1623425
171784,23,5,1,M,Married,7,D,623.8842385
192894,60,39,1,F,Single,10,P,188.1206318
184178,21,2,1,M,Married,0,D,544.2032325
117590,19,0,1,M,Single,13,P,325.562891
103030,24,6,1,F,Married,12,P,182.8039805
139116,66,47,1,F,Single,12,P,155.5223241
133134,31,13,1,F,Single,5,D,502.7124322
127011,42,25,1,M,Single,14,P,262.9411765
105550,37,19,1,M,Married,10,P,324.1466938
137242,32,12,1,F,Married,9,P,312.2857892
103067,56,38,1,F,Single,12,P,205.9058749
128105,57,39,1,F,Single,11,P,367.8672027
183795,67,48,1,F,Married,14,P,165.6764223
172178,24,5,1,M,Married,14,P,451.8458055
180064,55,38,1,M,Married,6,P,354.9675474
110870,36,17,1,M,Married,9,P,375.07503
196933,17,0,1,M,Single,7,D,841.6097425
156933,23,4,1,M,Single,11,D,565.75928
157911,61,42,1,M,Married,12,P,341.8587982
163306,48,29,1,F,Single,10,P,407.1739205
161277,25,6,1,F,Single,12,D,559.1451267
117086,16,0,1,M,Married,12,D,547.4455297
158744,41,21,1,M,Single,15,P,169.8042272
195112,21,4,1,M,Married,4,D,1066.302464
192661,25,8,1,F,Married,14,P,250.8077066
116768,55,36,1,F,Married,14,P,188.8132454
178402,22,3,1,F,Single,14,D,567.0537545
157188,19,0,1,F,Married,0,P,345.0465518
119640,28,11,1,M,Married,11,P,315.3474326
106186,21,2,1,F,Single,13,D,656.1548087
136386,43,22,1,F,Married,0,P,461.9718465
172482,45,26,1,F,Single,7,P,377.9836825
190872,18,0,1,M,Single,9,D,684.6526982
112220,19,2,1,F,Married,11,P,144.4525566
162140,35,16,1,F,Single,10,P,401.6252338
172063,63,46,1,F,Single,3,P,253.4663373
159881,39,20,1,M,Married,15,P,144.4791732
158441,16,0,1,F,Single,11,P,227.3926774
139083,23,4,1,M,Married,6,D,643.5273912
126513,17,0,1,M,Married,6,P,324.5930853
157712,17,0,1,M,Married,11,P,167.9065824
123461,20,2,1,F,Married,12,P,164.3226813
110371,56,35,1,F,Single,13,P,286.5238132
178117,26,5,1,F,Married,7,P,278.9689585
180764,17,0,1,M,Married,13,D,545.648712
120396,53,34,1,M,Single,14,P,257.7397425
160342,31,10,1,M,Married,14,P,268.77102
100931,19,1,1,F,Married,12,P,387.2362217
111247,26,8,1,F,Single,3,D,666.6766088
146672,29,12,1,F,Single,12,P,363.980308
186335,47,28,1,M,Married,15,P,124.3721637
134430,24,5,1,M,Single,15,D,727.2299234
173346,18,1,1,F,Married,15,P,256.8966878
100739,68,50,1,M,Married,7,P,96.75876211
124356,18,0,1,F,Married,12,P,228.6247326
122304,67,49,1,F,Married,6,P,117.5752762
148403,70,53,1,M,Single,10,P,264.2712706
169949,28,11,1,M,Single,4,D,836.2796454
165319,69,51,1,M,Single,3,P,308.9019548
103054,28,9,1,M,Married,15,P,183.7265292
139550,63,45,1,M,Married,12,P,138.3989724
153354,25,8,1,F,Single,12,D,671.5230097
140938,55,38,1,F,Single,14,P,191.0414252
149303,25,6,1,F,Married,9,P,445.6656637
166431,57,38,1,F,Married,2,D,587.121065
128867,16,0,1,M,Married,12,P,201.2702657
186334,22,4,1,F,Single,10,P,484.2131818
129404,50,31,1,M,Married,10,P,360.8718623
138395,24,5,1,M,Married,13,P,268.9314723
191140,45,26,1,F,Single,10,P,383.44538
133591,49,29,1,F,Single,6,P,418.456828
104826,62,45,1,M,Married,14,P,124.498519
164938,16,0,1,M,Single,15,D,673.1939661
139800,50,33,1,F,Married,10,P,292.8056952
134774,43,23,1,M,Married,10,P,363.9739969
124523,17,0,1,M,Single,12,D,703.1834416
122527,19,1,1,M,Married,13,D,510.3590398
105418,65,47,1,F,Single,8,P,41.57656736
172805,17,0,1,M,Married,12,P,260.2345014
105262,38,21,1,F,Single,9,P,385.7485614
158249,48,28,1,F,Married,10,P,334.7612678
170144,46,25,1,M,Single,15,P,274.8857402
191160,25,8,1,F,Married,12,P,216.4240688
191628,31,14,1,M,Single,8,P,405.4731829
198045,44,27,1,M,Single,1,D,684.9800141
155792,41,20,1,F,Single,15,P,150.5320913
132277,17,0,1,F,Single,5,D,673.3517116
147909,29,9,1,F,Married,14,P,218.9770126
182915,32,14,1,F,Single,13,P,281.440499
143075,61,40,1,F,Married,1,P,146.0636593
104525,28,8,1,F,Single,1,D,809.1460715
154713,17,0,1,M,Single,11,D,1023.788951
150038,55,34,1,F,Single,9,P,475.6477521
183774,20,3,1,M,Married,13,P,412.3728753
131000,70,53,1,M,Married,0,P,156.7486616
142771,46,27,1,F,Married,15,P,283.6638328
193862,37,19,1,F,Married,1,P,360.7519195
175991,65,48,1,M,Married,7,P,239.2136809
112584,17,0,1,F,Single,12,P,234.8382168
178839,35,16,1,M,Single,9,D,522.5136507
178579,42,23,1,F,Married,7,P,291.6776414
188144,25,6,1,F,Married,9,P,224.8163937
168426,32,12,1,F,Married,0,P,419.5637371
121837,26,5,1,F,Single,6,P,395.6273655
185498,24,7,1,M,Single,14,D,648.4970615
187994,18,0,1,M,Single,12,P,389.7294061
144980,51,32,1,M,Single,13,P,235.7394144
165791,47,30,1,M,Single,15,P,155.9301797
136578,21,4,1,F,Single,10,D,772.0719204
104486,20,3,1,M,Single,12,D,738.7166747
127936,66,48,1,F,Single,3,P,476.4294007
142200,65,47,1,F,Single,6,P,47.27603743
132773,30,12,1,F,Married,8,P,308.5713815
174649,24,7,1,F,Single,8,D,614.8820182
107218,35,18,1,M,Married,11,P,280.7923877
110966,17,0,1,F,Single,0,D,659.2477512
134067,41,22,1,F,Married,8,P,312.7213527
198001,41,24,1,F,Married,7,P,337.6700037
112751,39,22,1,F,Single,14,P,272.2594633
110330,16,0,1,M,Married,14,P,443.3265557
152850,41,20,1,F,Married,14,P,136.4526367
137449,28,9,1,M,Married,2,D,668.780303
146254,66,45,1,M,Married,9,P,36.63901131
177554,23,4,1,M,Married,14,D,694.5794472
161868,64,45,1,F,Married,1,P,318.332047
157353,66,47,1,M,Single,8,P,229.6906948
127572,25,7,1,M,Single,9,D,983.6492536
110946,29,11,1,M,Single,0,D,675.7091855
179609,64,47,1,F,Single,11,P,110.6599318
108007,22,5,1,F,Single,14,P,447.3969202
139453,69,51,1,M,Single,4,P,228.5962068
165686,24,5,1,F,Married,14,P,441.8763829
108319,18,1,1,F,Single,10,D,698.2797078
144855,69,48,1,M,Single,7,P,235.8586141
163531,19,2,1,F,Married,15,P,294.094824
150077,70,51,1,M,Married,2,P,345.2723201
191011,38,21,1,F,Single,0,D,837.4720719
191637,44,25,1,F,Single,11,P,340.3533667
118853,64,44,1,F,Single,9,P,292.0086982
190042,43,25,1,M,Married,7,P,398.6963317
113232,18,0,1,M,Single,13,D,810.3321729
129426,55,38,1,M,Married,6,P,356.072465
161923,35,17,1,F,Single,11,P,376.4717043
143315,70,52,1,M,Married,15,P,162.5111147
112537,22,5,1,F,Married,7,P,391.2488532
189651,26,7,1,F,Married,6,P,283.7506272
175053,27,7,1,M,Married,9,P,346.3474987
149333,32,15,1,F,Single,10,P,402.3212675
106020,25,7,1,M,Married,1,D,776.9765728
172144,55,35,1,M,Married,1,D,644.72313
181343,23,6,1,F,Single,13,P,385.8799478
165969,52,33,1,M,Married,9,P,321.4892996
175204,53,35,1,M,Single,7,P,435.959851
188905,32,11,1,F,Married,9,P,303.1333791
174333,53,32,1,F,Married,4,D,556.9123571
167470,17,0,1,F,Single,4,D,1037.373455
120965,20,1,1,F,Single,12,P,302.3470413
177195,69,52,1,M,Single,15,P,117.101737
140290,17,0,1,M,Single,13,D,963.5760233
117642,63,42,1,M,Single,13,P,95.64112278
104411,29,11,1,F,Married,5,P,418.6738227
182169,62,43,1,F,Single,1,P,342.2447597
154432,61,42,1,F,Married,13,P,102.3352065
106539,66,46,1,F,Single,15,P,41.48382202
195625,54,35,1,F,Married,8,P,307.3220363
196635,48,27,1,F,Single,0,D,686.6217767
193413,67,50,1,M,Single,10,P,167.0764612
191094,66,47,1,M,Married,4,D,550.5213257
179271,23,5,1,M,Single,14,D,586.5806227
189951,26,6,1,F,Married,12,P,338.521163
126236,38,20,1,M,Married,0,D,648.4727226
130761,69,50,1,M,Married,14,P,95.24364537
170986,20,2,1,M,Single,13,P,493.8180385
157919,21,2,1,M,Single,7,D,1020.797227
127745,18,1,1,M,Married,9,P,470.7737738
191285,34,15,1,F,Single,6,P,402.5129906
123166,51,33,1,M,Single,10,P,422.0508228
155724,23,6,1,F,Married,14,P,126.7299892
177504,18,0,1,M,Married,4,D,1204.444856
136090,60,39,1,M,Married,11,P,275.6651835
196704,46,26,1,F,Married,0,D,517.6533908
164592,64,47,1,F,Single,9,P,42.93175722
145321,21,2,1,M,Single,13,D,930.9972091
104756,22,3,1,M,Single,11,D,946.1029263
103377,44,25,1,F,Single,7,P,363.644134
139687,36,15,1,F,Single,6,P,420.0788009
165487,66,49,1,F,Single,9,P,78.76982783
126149,21,4,1,F,Single,12,P,420.898228
133180,64,46,1,M,Married,4,P,390.4062578
186820,44,26,1,M,Single,8,P,462.2550909
185310,47,30,1,M,Married,15,P,146.8817882
117930,18,0,1,M,Single,10,D,1032.461873
133784,40,22,1,F,Married,10,P,373.2009063
108804,22,4,1,M,Single,12,D,874.4650234
109203,24,7,1,M,Single,0,D,1491.634513
148258,70,52,1,F,Single,7,P,140.2225367
108325,61,41,1,M,Married,9,P,159.4451332
109970,20,3,1,M,Single,14,D,730.6043258
189460,22,4,1,F,Single,15,P,470.262049
