Hhid,loyalty,preferred_store_format,lifestyle,gender
78081,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
78121,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
78271,Very Frequent Shoppers,Large Stores,Middle Class,M
78461,No longer Shopping,Mom and Pop Stores,Very Affluent Customers,M
79051,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
79391,Occasional Shoppers,Very Large Stores,Middle Class,F
81531,Very Frequent Shoppers,Large Stores,Low Affluent Customers,M
81871,Very Frequent Shoppers,Large Stores,Middle Class,F
82651,Occasional Shoppers,Large Stores,Very Affluent Customers,F
82991,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
83431,Very Frequent Shoppers,Very Large Stores,Middle Class,F
83961,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,M
84171,Very Frequent Shoppers,Large Stores,Middle Class,F
86071,Very Frequent Shoppers,Large Stores,Low Affluent Customers,M
88011,Occasional Shoppers,Mom and Pop Stores,Low Affluent Customers,F
88351,Very Frequent Shoppers,Mom and Pop Stores,Very Affluent Customers,F
88691,Occasional Shoppers,Large Stores,Middle Class,F
89511,No longer Shopping,Very Large Stores,Low Affluent Customers,F
90071,Very Frequent Shoppers,Very Large Stores,Middle Class,F
91191,Occasional Shoppers,Large Stores,Very Affluent Customers,F
91421,Occasional Shoppers,Others,Middle Class,F
91611,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,F
91801,Occasional Shoppers,Large Stores,Middle Class,M
92691,Occasional Shoppers,Large Stores,Low Affluent Customers,M
93321,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
93471,No longer Shopping,Others,NA,X
94591,Very Frequent Shoppers,Large Stores,Middle Class,F
94781,Lapsing Shoppers,Large Stores,Very Affluent Customers,M
94971,Occasional Shoppers,Large Stores,NA,F
95411,Occasional Shoppers,Large Stores,Middle Class,F
96151,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
97311,No longer Shopping,Large Stores,Low Affluent Customers,F
97841,No longer Shopping,Others,Middle Class,F
98811,Occasional Shoppers,Mom and Pop Stores,Low Affluent Customers,F
99021,Occasional Shoppers,Very Large Stores,Low Affluent Customers,F
99361,Lapsing Shoppers,Large Stores,Low Affluent Customers,F
99741,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,M
100101,Very Frequent Shoppers,Large Stores,Middle Class,M
100821,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
101371,Very Frequent Shoppers,Large Stores,Middle Class,F
101941,Occasional Shoppers,Large Stores,Low Affluent Customers,F
102151,Very Frequent Shoppers,Mom and Pop Stores,Middle Class,F
103311,No longer Shopping,NA,NA,NA
104431,Occasional Shoppers,Very Large Stores,Middle Class,F
104961,Occasional Shoppers,Large Stores,Middle Class,F
105361,No longer Shopping,Large Stores,Low Affluent Customers,M
105401,No longer Shopping,Very Large Stores,Low Affluent Customers,M
107111,Very Frequent Shoppers,Very Large Stores,Middle Class,F
109881,Occasional Shoppers,Very Large Stores,Very Affluent Customers,F
109921,Very Frequent Shoppers,Large Stores,Low Affluent Customers,M
110521,Occasional Shoppers,Large Stores,Low Affluent Customers,F
110711,Occasional Shoppers,Large Stores,Middle Class,F
112231,Very Frequent Shoppers,Large Stores,Middle Class,F
112611,Occasional Shoppers,Large Stores,Middle Class,F
112761,Very Frequent Shoppers,Large Stores,Middle Class,F
112951,Occasional Shoppers,Mom and Pop Stores,Very Affluent Customers,M
113011,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
113351,Occasional Shoppers,Small Stores,Very Affluent Customers,F
113541,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
113921,Occasional Shoppers,Large Stores,Middle Class,F
114091,Occasional Shoppers,Very Large Stores,Middle Class,F
116031,No longer Shopping,Large Stores,Very Affluent Customers,F
116181,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
116411,Very Frequent Shoppers,Large Stores,Middle Class,F
117491,Occasional Shoppers,Large Stores,Middle Class,F
117721,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
117911,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
119051,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
119431,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
119771,Occasional Shoppers,Small Stores,Middle Class,F
119961,Occasional Shoppers,Very Large Stores,Middle Class,X
120371,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
120941,Very Frequent Shoppers,Large Stores,Middle Class,F
121491,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
121681,Occasional Shoppers,Very Large Stores,Very Affluent Customers,F
121871,Lapsing Shoppers,Large Stores,Very Affluent Customers,F
122121,Occasional Shoppers,Others,Middle Class,F
123581,Occasional Shoppers,Very Large Stores,Middle Class,M
125141,Occasional Shoppers,Mom and Pop Stores,Middle Class,M
126261,Occasional Shoppers,Large Stores,Middle Class,M
127571,Occasional Shoppers,Mom and Pop Stores,Middle Class,M
128691,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,F
129091,Very Frequent Shoppers,Large Stores,Middle Class,F
129471,Very Frequent Shoppers,Large Stores,Middle Class,M
129511,Very Frequent Shoppers,Very Large Stores,Middle Class,F
129661,No longer Shopping,Others,Very Affluent Customers,M
130111,Occasional Shoppers,Very Large Stores,Middle Class,F
132161,Occasional Shoppers,Others,Low Affluent Customers,F
133321,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
134061,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
135941,No longer Shopping,Large Stores,Low Affluent Customers,M
136871,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
137841,Occasional Shoppers,Others,Middle Class,M
140531,Occasional Shoppers,Small Stores,Middle Class,M
140871,Occasional Shoppers,Others,Middle Class,F
140911,Occasional Shoppers,Very Large Stores,Very Affluent Customers,F
143361,No longer Shopping,Very Large Stores,Very Affluent Customers,F
144141,Occasional Shoppers,Large Stores,Middle Class,F
144481,Occasional Shoppers,Large Stores,NA,M
144711,Occasional Shoppers,Others,Low Affluent Customers,M
146571,Very Frequent Shoppers,Mom and Pop Stores,Middle Class,F
147201,Occasional Shoppers,Others,Middle Class,M
148471,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,M
148661,Occasional Shoppers,Very Large Stores,Middle Class,F
149061,Lapsing Shoppers,Large Stores,Very Affluent Customers,M
149971,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,F
151201,Very Frequent Shoppers,Large Stores,Middle Class,M
151541,Occasional Shoppers,Mom and Pop Stores,Middle Class,F
154031,Occasional Shoppers,Large Stores,Very Affluent Customers,M
154181,No longer Shopping,Large Stores,Low Affluent Customers,F
155871,Occasional Shoppers,Mom and Pop Stores,Middle Class,F
156121,Occasional Shoppers,Large Stores,Low Affluent Customers,F
156271,Very Frequent Shoppers,Large Stores,Middle Class,F
157051,Very Frequent Shoppers,Large Stores,Low Affluent Customers,M
157241,Occasional Shoppers,Small Stores,Low Affluent Customers,M
158551,Occasional Shoppers,Very Large Stores,Very Affluent Customers,F
158741,Very Frequent Shoppers,Very Large Stores,Middle Class,F
158891,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
161051,Very Frequent Shoppers,Small Stores,Low Affluent Customers,F
161431,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
162021,Occasional Shoppers,Mom and Pop Stores,Middle Class,F
162741,Very Frequent Shoppers,Very Large Stores,Middle Class,F
163481,No longer Shopping,Large Stores,Low Affluent Customers,F
164641,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
165041,Occasional Shoppers,Mom and Pop Stores,Very Affluent Customers,F
165801,Very Frequent Shoppers,Very Large Stores,Middle Class,F
167091,Very Frequent Shoppers,Very Large Stores,Middle Class,F
167471,No longer Shopping,Very Large Stores,Low Affluent Customers,F
168591,Occasional Shoppers,Mom and Pop Stores,Low Affluent Customers,F
169941,Very Frequent Shoppers,Very Large Stores,Middle Class,X
172251,No longer Shopping,Very Large Stores,Low Affluent Customers,X
172591,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,F
173371,Occasional Shoppers,Others,Low Affluent Customers,M
173601,Very Frequent Shoppers,Very Large Stores,Middle Class,F
173941,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
174491,No longer Shopping,Large Stores,Low Affluent Customers,F
174871,Occasional Shoppers,Large Stores,NA,F
175271,Very Frequent Shoppers,Large Stores,Middle Class,F
176581,Occasional Shoppers,Large Stores,Middle Class,M
176811,Occasional Shoppers,Large Stores,Low Affluent Customers,M
177361,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
178711,Occasional Shoppers,Mom and Pop Stores,Very Affluent Customers,X
179111,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
179301,Very Frequent Shoppers,Large Stores,Middle Class,F
179831,Lapsing Shoppers,Others,Very Affluent Customers,F
180241,No longer Shopping,NA,NA,NA
180391,Very Frequent Shoppers,Large Stores,Low Affluent Customers,M
180811,Very Frequent Shoppers,Very Large Stores,Middle Class,F
181741,Very Frequent Shoppers,Large Stores,Low Affluent Customers,M
182331,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,M
182521,Occasional Shoppers,Very Large Stores,Middle Class,F
182861,Occasional Shoppers,Very Large Stores,Middle Class,F
183831,Very Frequent Shoppers,Mom and Pop Stores,Very Affluent Customers,F
184761,No longer Shopping,Large Stores,Very Affluent Customers,F
185011,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
186131,Lapsing Shoppers,Very Large Stores,Low Affluent Customers,M
187061,Occasional Shoppers,Very Large Stores,Low Affluent Customers,F
187441,Occasional Shoppers,Very Large Stores,Very Affluent Customers,F
189151,Very Frequent Shoppers,Large Stores,Very Affluent Customers,M
190091,Very Frequent Shoppers,Very Large Stores,Middle Class,F
193001,No longer Shopping,Mom and Pop Stores,Middle Class,F
194651,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
195241,Very Frequent Shoppers,Large Stores,Very Affluent Customers,X
195811,Very Frequent Shoppers,Small Stores,Low Affluent Customers,F
196171,Very Frequent Shoppers,Others,Middle Class,F
196401,Occasional Shoppers,Very Large Stores,Middle Class,F
196891,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,F
196931,Very Frequent Shoppers,Very Large Stores,Middle Class,F
198791,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,X
199761,Occasional Shoppers,Large Stores,Low Affluent Customers,F
199801,Occasional Shoppers,Large Stores,Very Affluent Customers,F
200081,Very Frequent Shoppers,Large Stores,Middle Class,X
200121,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,X
200651,No longer Shopping,Large Stores,Low Affluent Customers,F
200991,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
201431,Occasional Shoppers,Very Large Stores,Middle Class,F
202021,Occasional Shoppers,Large Stores,Middle Class,F
202741,No longer Shopping,Very Large Stores,Low Affluent Customers,F
204071,No longer Shopping,Mom and Pop Stores,Middle Class,M
205231,Occasional Shoppers,Large Stores,Middle Class,F
205571,Occasional Shoppers,Large Stores,Middle Class,F
206011,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
206691,Occasional Shoppers,Very Large Stores,Low Affluent Customers,M
206731,Occasional Shoppers,Very Large Stores,Low Affluent Customers,F
207131,Very Frequent Shoppers,Mom and Pop Stores,Middle Class,F
207511,Occasional Shoppers,Small Stores,Low Affluent Customers,F
208061,Occasional Shoppers,Very Large Stores,Low Affluent Customers,F
209181,Very Frequent Shoppers,Large Stores,Middle Class,X
209561,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,F
209941,Occasional Shoppers,Large Stores,Very Affluent Customers,M
211281,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
211471,No longer Shopping,Large Stores,NA,M
213031,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,M
213221,Occasional Shoppers,Very Large Stores,Middle Class,F
214531,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
214871,Very Frequent Shoppers,Others,Low Affluent Customers,X
215121,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,X
215311,Lapsing Shoppers,Others,Middle Class,X
215461,Very Frequent Shoppers,Large Stores,Middle Class,X
216051,Occasional Shoppers,Others,Middle Class,X
216391,Very Frequent Shoppers,Large Stores,Low Affluent Customers,X
216621,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,X
216811,Very Frequent Shoppers,Mom and Pop Stores,Low Affluent Customers,F
217171,Lapsing Shoppers,Others,NA,M
219641,Very Frequent Shoppers,Large Stores,Low Affluent Customers,X
223261,No longer Shopping,Large Stores,Middle Class,M
225351,Occasional Shoppers,Large Stores,Very Affluent Customers,F
226281,Occasional Shoppers,Small Stores,Very Affluent Customers,F
226511,Occasional Shoppers,Large Stores,Low Affluent Customers,M
228031,Occasional Shoppers,Others,Low Affluent Customers,M
228371,Very Frequent Shoppers,Others,Middle Class,M
228561,Occasional Shoppers,Small Stores,Low Affluent Customers,F
228601,Occasional Shoppers,Others,Middle Class,X
230131,Very Frequent Shoppers,Large Stores,Very Affluent Customers,M
230281,Occasional Shoppers,Small Stores,Middle Class,F
230511,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
232031,Very Frequent Shoppers,Large Stores,Low Affluent Customers,M
232371,Occasional Shoppers,Large Stores,Very Affluent Customers,F
233531,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
233681,Very Frequent Shoppers,Large Stores,Middle Class,F
235391,Occasional Shoppers,Large Stores,Low Affluent Customers,F
236401,Occasional Shoppers,Small Stores,Middle Class,M
236551,No longer Shopping,Very Large Stores,Middle Class,M
237861,Occasional Shoppers,Mom and Pop Stores,Middle Class,F
240401,Occasional Shoppers,Large Stores,Very Affluent Customers,F
240931,Occasional Shoppers,Others,Very Affluent Customers,F
241331,Very Frequent Shoppers,Small Stores,Middle Class,F
244161,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
245091,Occasional Shoppers,Very Large Stores,Very Affluent Customers,F
245851,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
246591,Occasional Shoppers,Others,Low Affluent Customers,F
247601,Occasional Shoppers,Large Stores,Low Affluent Customers,F
247941,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
248911,No longer Shopping,Others,NA,F
249311,Occasional Shoppers,Mom and Pop Stores,Low Affluent Customers,F
249651,Lapsing Shoppers,Large Stores,Middle Class,F
249991,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,F
252491,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,X
252721,Occasional Shoppers,Others,Very Affluent Customers,F
252911,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
253271,Lapsing Shoppers,Large Stores,Middle Class,F
253841,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
254051,Very Frequent Shoppers,Large Stores,Middle Class,F
256671,Very Frequent Shoppers,Very Large Stores,Middle Class,F
257641,Occasional Shoppers,Small Stores,Low Affluent Customers,F
257981,Occasional Shoppers,Large Stores,Middle Class,M
258191,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
258421,Very Frequent Shoppers,Large Stores,Low Affluent Customers,X
258951,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
259011,Occasional Shoppers,Large Stores,Low Affluent Customers,M
260671,Occasional Shoppers,Mom and Pop Stores,Low Affluent Customers,X
260861,Occasional Shoppers,Very Large Stores,Low Affluent Customers,X
260901,Occasional Shoppers,Large Stores,Middle Class,F
261261,Occasional Shoppers,Very Large Stores,Middle Class,F
261451,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,F
261791,Very Frequent Shoppers,Large Stores,Middle Class,X
261831,Occasional Shoppers,Large Stores,Middle Class,F
262611,No longer Shopping,Large Stores,Low Affluent Customers,F
262761,Occasional Shoppers,Very Large Stores,Low Affluent Customers,F
263161,Occasional Shoppers,Large Stores,Middle Class,F
263351,Occasional Shoppers,Very Large Stores,Middle Class,M
263731,No longer Shopping,Small Stores,Middle Class,F
263921,Occasional Shoppers,Very Large Stores,Middle Class,F
264131,Very Frequent Shoppers,Large Stores,Very Affluent Customers,M
264281,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
264851,Occasional Shoppers,Large Stores,Low Affluent Customers,M
265251,Occasional Shoppers,Large Stores,Very Affluent Customers,F
265631,Very Frequent Shoppers,Large Stores,Low Affluent Customers,M
266601,Very Frequent Shoppers,Large Stores,Very Affluent Customers,M
266751,Occasional Shoppers,Large Stores,Middle Class,F
267871,Very Frequent Shoppers,Large Stores,Middle Class,F
267911,Very Frequent Shoppers,Large Stores,Very Affluent Customers,M
270031,Very Frequent Shoppers,Large Stores,Low Affluent Customers,M
270601,Occasional Shoppers,Others,Low Affluent Customers,F
271341,Occasional Shoppers,Large Stores,Middle Class,F
271911,Occasional Shoppers,Large Stores,Very Affluent Customers,F
272271,Occasional Shoppers,Large Stores,Middle Class,F
272461,Occasional Shoppers,Large Stores,Low Affluent Customers,F
272651,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
273811,Occasional Shoppers,Mom and Pop Stores,Middle Class,F
274361,Occasional Shoppers,Mom and Pop Stores,Middle Class,F
275671,Very Frequent Shoppers,Large Stores,Very Affluent Customers,M
276071,Occasional Shoppers,Very Large Stores,Middle Class,F
276111,Very Frequent Shoppers,Very Large Stores,Middle Class,F
276451,Occasional Shoppers,Large Stores,Very Affluent Customers,F
276831,Occasional Shoppers,Mom and Pop Stores,Low Affluent Customers,F
279131,No longer Shopping,Others,Middle Class,F
281231,Very Frequent Shoppers,Very Large Stores,Middle Class,F
281761,Occasional Shoppers,Large Stores,Low Affluent Customers,M
281951,Very Frequent Shoppers,Very Large Stores,Middle Class,F
284821,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
285031,Occasional Shoppers,Very Large Stores,Low Affluent Customers,F
285561,Occasional Shoppers,Mom and Pop Stores,Middle Class,F
287651,Occasional Shoppers,Very Large Stores,Low Affluent Customers,F
288241,Occasional Shoppers,Very Large Stores,Low Affluent Customers,M
288581,Very Frequent Shoppers,Small Stores,Very Affluent Customers,F
288771,Occasional Shoppers,Large Stores,Low Affluent Customers,F
289021,No longer Shopping,Small Stores,Middle Class,X
289361,Lapsing Shoppers,Large Stores,Very Affluent Customers,F
289931,Occasional Shoppers,Large Stores,Middle Class,F
290001,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
291991,Occasional Shoppers,Large Stores,Middle Class,F
292051,Very Frequent Shoppers,Large Stores,Very Affluent Customers,M
292581,Lapsing Shoppers,Very Large Stores,Very Affluent Customers,F
293171,Occasional Shoppers,Very Large Stores,Low Affluent Customers,F
293361,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
293401,Occasional Shoppers,Others,Very Affluent Customers,F
293931,No longer Shopping,Mom and Pop Stores,Middle Class,M
294671,Very Frequent Shoppers,Very Large Stores,Middle Class,X
295791,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,F
296041,Occasional Shoppers,Large Stores,Middle Class,M
296761,Very Frequent Shoppers,Mom and Pop Stores,Low Affluent Customers,X
297201,Very Frequent Shoppers,Mom and Pop Stores,Middle Class,F
297351,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
297691,No longer Shopping,Mom and Pop Stores,Very Affluent Customers,F
298281,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,M
298471,Occasional Shoppers,Very Large Stores,Middle Class,F
299101,No longer Shopping,Large Stores,Very Affluent Customers,F
301791,Very Frequent Shoppers,Large Stores,Middle Class,F
301981,Occasional Shoppers,Mom and Pop Stores,Middle Class,F
302421,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,F
302801,Occasional Shoppers,Large Stores,Very Affluent Customers,F
303011,Very Frequent Shoppers,Very Large Stores,Middle Class,F
305591,Very Frequent Shoppers,Large Stores,Middle Class,F
